,team,sketch_title,writer,link,writer_clean
1327,Moriarty,Moriarty - 10/6/14 - My Client,Written by Juan Nicolon,https://www.youtube.com/watch?v=LhjTmLwtScs,Juan Nicolon
1328,Moriarty,Moriarty - 10/6/14 - Single White Robot,Written by Cristina Sanza,https://www.youtube.com/watch?v=rBQdBzk_SFg,Cristina Sanza
1329,Moriarty,Moriarty - 11/11/13 - FULL SHOW,Written by Tyler G. Hall & Mark Vigeant,https://www.youtube.com/watch?v=rHKxO9TnofE,Tyler G. Hall & Mark Vigeant
1330,Moriarty,Moriarty - 11/11/13 - Good Dad,Written by Allie Kokesh,https://www.youtube.com/watch?v=Grwva29K7T0,Allie Kokesh
1331,Moriarty,Moriarty - 11/11/13 - Grandma Loves Hannah Montana,Written by Janet Silverman,https://www.youtube.com/watch?v=0HbU7MI06qw,Janet Silverman
1332,Moriarty,Moriarty - 11/11/13 - Kate Upton's Tits,Written by Juan Nicolon,https://www.youtube.com/watch?v=o4b6ihmDe4o,Juan Nicolon
1333,Moriarty,Moriarty - 11/11/13 - Open Your Heart,Written by John Zachary Townsend,https://www.youtube.com/watch?v=XNTa7ZIJ9eo,John Zachary Townsend
1334,Moriarty,Moriarty - 11/11/13 - Sir Mix A Lot,Written by Tyler G. Hall & Mark Vigeant,https://www.youtube.com/watch?v=TKd-6vN1lPo,Tyler G. Hall & Mark Vigeant
1335,Moriarty,Moriarty - 11/11/13 - Witch Moms,Written by Cristina Sanza,https://www.youtube.com/watch?v=9n4Sy87-3aw,Cristina Sanza
1336,Moriarty,Moriarty - 12/09/13 - Arrow Man,Written by Juan Nicolón,https://www.youtube.com/watch?v=MowEVLg6C2g,Juan Nicolón
1337,Moriarty,Moriarty - 12/09/13 - Christmas LLC,Written by Tyler Hall,https://www.youtube.com/watch?v=LRq-grvHbwI,Tyler Hall
1338,Moriarty,Moriarty - 12/09/13 - Cutest Boy Contest,Written by John Zachary Townsend,https://www.youtube.com/watch?v=B74pYdJDiY0,John Zachary Townsend
1339,Moriarty,Moriarty - 12/09/13 - Malrock Industries,Written by Tyler Hall,https://www.youtube.com/watch?v=rT4U0xsfboU,Tyler Hall
1340,Moriarty,Moriarty - 12/09/13 - Milk Song (Full Sketch),Written by Cristina Sanza,https://www.youtube.com/watch?v=IZIMyAGDeE8,Cristina Sanza
1341,Moriarty,Moriarty - 12/09/13 - Office Threesome,Written by Janet Silverman,https://www.youtube.com/watch?v=pevBlgdBlMM,Janet Silverman
1342,Moriarty,Moriarty - 12/09/13 - White Elephant,Written by Allie Kokesh and Janet Silverman,https://www.youtube.com/watch?v=zSMknYB8Jm8,Allie Kokesh and Janet Silverman
1343,Moriarty,Moriarty - 12/9/13 - FULL SHOW,Written by Allie Kokesh and Janet Silverman,https://www.youtube.com/watch?v=UwgmuqQGFvs,Allie Kokesh and Janet Silverman
1344,Moriarty,Moriarty - 1/27/14 - Dancing Plague,Written by Cristina Sanza,https://www.youtube.com/watch?v=HM6etNotSWg,Cristina Sanza
1345,Moriarty,Moriarty - 1/27/14 - Family Dog,Written by Allie Kokesh,https://www.youtube.com/watch?v=Et28Ad6001M,Allie Kokesh
1346,Moriarty,Moriarty - 1/27/14 - FULL SHOW,Written by Juan Nicolón,https://www.youtube.com/watch?v=KO79QehzTq4,Juan Nicolón
1347,Moriarty,Moriarty - 1/27/14 - Getting Hunted,Written by Juan Nicolón,https://www.youtube.com/watch?v=IS5TBZrWpWM,Juan Nicolón
1348,Moriarty,Moriarty - 1/27/14 - Never Have I Ever,Written by Janet Silverman,https://www.youtube.com/watch?v=ZaIx1E4jbP8,Janet Silverman
1349,Moriarty,Moriarty - 1/27/14 - Plagiarism,Written by Tyler Hall,https://www.youtube.com/watch?v=ybZj5e5nFAs,Tyler Hall
1350,Moriarty,Moriarty - 1/27/14 - Praise You,Written by Allie Kokesh & Janet Silverman,https://www.youtube.com/watch?v=S0cd1MK6RiE,Allie Kokesh & Janet Silverman
1351,Moriarty,Moriarty - 1/27/14 - Sick Nasty Sluts,Written by John Zachary Townsend,https://www.youtube.com/watch?v=8lK_WnQrTV4,John Zachary Townsend
1352,Moriarty,Moriarty - 3/24/14 - FULL SHOW,Written by Allie Kokesh and Cristina Sanza,https://www.youtube.com/watch?v=FtZFv_BpYU4,Allie Kokesh and Cristina Sanza
1353,Moriarty,Moriarty - 4/28/14 - FULL SHOW,Written by Tyler G Hall,https://www.youtube.com/watch?v=dNdWWW70E4s,Tyler G Hall
1354,Moriarty,Moriarty - 4/28/14 - Light House Attendant Runner,Written by Juan Nicolon,https://www.youtube.com/watch?v=YM03PXX-Cqc,Juan Nicolon
1355,Moriarty,Moriarty - 4/28/14 - My Son,Written by Mark Vigeant and Juan Nicolon,https://www.youtube.com/watch?v=W1sOrL6jCm0,Mark Vigeant and Juan Nicolon
1356,Moriarty,Moriarty - 4/28/14 - Party Tutorial,Written by Allie Kokesh,https://www.youtube.com/watch?v=MmgdGXxAGzE,Allie Kokesh
1357,Moriarty,Moriarty - 4/28/14 - Tell Me More,Written by Tyler G Hall,https://www.youtube.com/watch?v=PEmUJEf0xTM,Tyler G Hall
1358,Moriarty,Moriarty - 4/28/14 - This Is Why Becky Is Single,Written by Allie Kokesh and Janet Silverman,https://www.youtube.com/watch?v=w5X8ADVbnwI,Allie Kokesh and Janet Silverman
1359,Moriarty,Moriarty - 4/28/14 - Too Soon For Weird Sex,Written by Cristina Sanza,https://www.youtube.com/watch?v=YW-wX9_boeM,Cristina Sanza
1360,Moriarty,Moriarty - 4/28/14 - Two Romantic Guys,Written by John Zachary Townsend,https://www.youtube.com/watch?v=sWsuaHA-tao,John Zachary Townsend
1361,Moriarty,Moriarty - 5/19/14 - Brunch of the Philosophers,Written by John Zachary Townsend,https://www.youtube.com/watch?v=ytYoeTdDRZs,John Zachary Townsend
1362,Moriarty,Moriarty - 5/19/14 - Dad Comedians Western,Written by Tyler G Hall,https://www.youtube.com/watch?v=2hxILPTx2KE,Tyler G Hall
1363,Moriarty,Moriarty - 5/19/14 - FULL SHOW,Written by Janet Silverman,https://www.youtube.com/watch?v=qLdtovPuTgo,Janet Silverman
1364,Moriarty,Moriarty - 5/19/14 - Rejected From Jury Duty,Written by Cristina Sanza,https://www.youtube.com/watch?v=sHGjwsK0BcE,Cristina Sanza
1365,Moriarty,Moriarty - 5/19/14 - Russian Ladies,Written by Allie Kokesh,https://www.youtube.com/watch?v=FT--FMUI9Sk,Allie Kokesh
1366,Moriarty,Moriarty - 5/19/14 - Subway Wonka,Written by Janet Silverman,https://www.youtube.com/watch?v=dNONyZjlMHc,Janet Silverman
1367,Moriarty,Moriarty - 5/19/14 - Two Doors Doorman,Written by Juan Nicolon,https://www.youtube.com/watch?v=fmusrSmVqoc,Juan Nicolon
1368,Moriarty,Moriarty - 6/23/14 - Belay Wives,Written by Juan Nicolon,https://www.youtube.com/watch?v=9HBLH26BN-8,Juan Nicolon
1369,Moriarty,Moriarty - 6/23/14 - Classroom Dating,Written by Cristina Sanza,https://www.youtube.com/watch?v=TYipStE2WOk,Cristina Sanza
1370,Moriarty,Moriarty - 6/23/14 - Family Feud,Written by Janet Silverman,https://www.youtube.com/watch?v=BOBH2sixdzM,Janet Silverman
1371,Moriarty,Moriarty - 6/23/14 - FULL SHOW,"Written by Juan Nicolon, John Zachary Townsend, Allie Kokesh",https://www.youtube.com/watch?v=D8xAToxyPxo,"Juan Nicolon, John Zachary Townsend, Allie Kokesh"
1372,Moriarty,Moriarty - 6/23/14 - Juan Nicolon: Artist of Merit,"Written by Juan Nicolon, John Zachary Townsend, Allie Kokesh",https://www.youtube.com/watch?v=fbmwOPyqXYE,"Juan Nicolon, John Zachary Townsend, Allie Kokesh"
1373,Moriarty,Moriarty - 6/23/14 - Parental Seduction,Written by Tyler G Hall,https://www.youtube.com/watch?v=ebbl-2c03-8,Tyler G Hall
1374,Moriarty,Moriarty - 6/23/14 - Proud To Be An American,Writers:,https://www.youtube.com/watch?v=0-RFrzFv67U,s:
1375,Moriarty,Moriarty - 8/4/14 - Bladder,Written by Janet Silverman,https://www.youtube.com/watch?v=79ssulqcN70,Janet Silverman
1376,Moriarty,Moriarty - 8/4/14 - Fashion Model Fall,Written by Juan Nicolon,https://www.youtube.com/watch?v=LV7A_gungKA,Juan Nicolon
1377,Moriarty,Moriarty - 8/4/14 - FULL SHOW,Written by Tyler G Hall,https://www.youtube.com/watch?v=jMYfW_Aepzw,Tyler G Hall
1378,Moriarty,Moriarty - 8/4/14 - Intervention,Written by John Zachary Townsend,https://www.youtube.com/watch?v=_2JWPCxCcEo,John Zachary Townsend
